drug_name,ind_name,rating
Ramipril,Hypertensive disease,1
Masoprocol,Actinic keratosis,1
Flunisolide,Allergic rhinitis (disorder),1
Flunisolide,Asthma,1
Baclofen,Muscle spasticity of spinal origin,1
Amphetamine,Obesity,1
Amphetamine,Attention deficit hyperactivity disorder,1
Amphetamine,Narcolepsy,1
Nicotine,Pellagra,1
Nicotine,Nicotine Dependence,1
Lorazepam,Lennox-Gastaut syndrome,1
Lorazepam,Absence Epilepsy,1
Lorazepam,"Epilepsies, Myoclonic",1
Lorazepam,Epileptic drop attack,1
Lorazepam,Anxiety,1
Lorazepam,Status Epilepticus,1
Lorazepam,Panic Disorder,1
Esmolol,Atrial Fibrillation,1
Esmolol,Supraventricular tachycardia,1
Esmolol,Perioperative hypertension,1
Bortezomib,Multiple Myeloma,1
Bortezomib,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",1
Ethchlorvynol,Sleeplessness,1
Carbidopa,Parkinson Disease,1
Carbidopa,Parkinsonian Disorders,1
Carbidopa,"Parkinson Disease, Postencephalitic",1
Phentermine,Hypotension,1
Phentermine,Obesity,1
Tramadol,Chronic pain,1
Tramadol,Degenerative polyarthritis,1
Tramadol,Pain,1
Vidarabine,"Keratitis, Dendritic",1
Vidarabine,"Keratitis, Herpetic",1
Betaxolol,Hypertensive disease,1
Betaxolol,Ocular Hypertension,1
Betaxolol,"Glaucoma, Open-Angle",1
Fluconazole,Oropharyngeal candidiasis,1
Fluconazole,Septicemia candida,1
Fluconazole,"Candidiasis, Vulvovaginal",1
Fluconazole,Oral candidiasis,1
Fluconazole,Mucocutaneous candidiasis,1
Fluconazole,Candidiasis of the esophagus,1
Fluconazole,"Meningitis, Cryptococcal",1
Fluconazole,Candidemia,1
Fluconazole,Systemic candidiasis,1
Oseltamivir,Influenza,1
Erythromycin,Diphtheria,1
Erythromycin,Ophthalmia Neonatorum,1
Erythromycin,Infective otitis media,1
Erythromycin,Acute bacterial sinusitis,1
Erythromycin,Acute gonococcal endometritis,1
Erythromycin,Neonatal pneumonia,1
Erythromycin,"Pneumonia, Bacterial",1
Erythromycin,Chlamydial urethritis,1
Erythromycin,Gonorrhea of rectum,1
Erythromycin,Pneumococcal pharyngitis,1
Erythromycin,Acute gonococcal urethritis,1
Erythromycin,Staphylococcus aureus infection,1
Erythromycin,Legionnaires' Disease,1
Erythromycin,non-gonococcal urethritis (NGU),1
Erythromycin,Streptococcus pyogenes infection,1
Erythromycin,Listeriosis,1
Erythromycin,Inclusion conjunctivitis,1
Erythromycin,Chlamydial cervicitis,1
Erythromycin,Pertussis,1
Erythromycin,Erythrasma,1
Erythromycin,Infection of skin AND/OR subcutaneous tissue,1
Erythromycin,Streptococcal pneumonia,1
Erythromycin,Syphilis,1
Erythromycin,Chlamydial pneumonia,1
Erythromycin,Acute gonococcal cervicitis,1
Erythromycin,Acne Vulgaris,1
Erythromycin,Acute otitis media,1
Erythromycin,Mycoplasma pneumonia,1
Erythromycin,Gonorrhea,1
Erythromycin,Intraabdominal Infections,1
Erythromycin,Meningitis,1
Erythromycin,Cholangitis,1
Erythromycin,Bacterial sepsis,1
Erythromycin,Hepatic Coma,1
Erythromycin,Infection of bone,1
Erythromycin,Urinary tract infection,1
Erythromycin,Arthropathy associated with infection,1
Hydroxocobalamin,Vitamin B 12 Deficiency,1
Hydroxocobalamin,Toxic effect of cyanide,1
Hydroxocobalamin,"Anemia, Pernicious",1
Caffeine,Headache Disorders,1
Caffeine,Allergic rhinitis (disorder),1
Caffeine,Pain,1
Caffeine,Vascular Headaches,1
Caffeine,Back Pain,1
Caffeine,Cluster Headache,1
Caffeine,Arthralgia,1
Caffeine,Influenza-like symptoms,1
Caffeine,Common Cold,1
Caffeine,Muscle Spasticity,1
Caffeine,Rhinorrhea,1
Caffeine,Nasal congestion (finding),1
Caffeine,Sinus headache,1
Caffeine,Dysmenorrhea,1
Caffeine,Tension Headache,1
Caffeine,Migraine Disorders,1
Caffeine,Apnea in the newborn,1
Sildenafil,Pulmonary arterial hypertension,1
Sildenafil,Erectile dysfunction,1
Pyrimethamine,Malaria,1
Pyrimethamine,Toxoplasmosis associated with AIDS,1
Pyrimethamine,Toxoplasmosis,1
Reserpine,Psychotic Disorders,1
Reserpine,Hypertensive disease,1
Azithromycin,Pulmonary Mycobacterium avium complex infection,1
Azithromycin,Streptococcal tonsillitis,1
Azithromycin,Pneumonia due to Staphylococcus aureus,1
Azithromycin,Acute bacterial bronchitis,1
Azithromycin,Infective otitis media,1
Azithromycin,Chlamydial pneumonia,1
Azithromycin,Chlamydial urethritis,1
Azithromycin,Streptococcus pyogenes infection,1
Azithromycin,Acute gonococcal cervicitis,1
Azithromycin,Legionella pneumophila pneumonia,1
Azithromycin,Acute gonococcal urethritis,1
Azithromycin,Chancroids,1
Azithromycin,Bacterial conjunctivitis,1
Azithromycin,"Pneumonia, Bacterial",1
Azithromycin,Chlamydial pelvic inflammatory disease,1
Azithromycin,Chlamydial cervicitis,1
Azithromycin,Streptococcal pneumonia,1
Azithromycin,Mycoplasma pneumonia,1
Azithromycin,Staphylococcus aureus infection,1
Azithromycin,Moraxella catarrhalis pneumonia,1
Azithromycin,Acute bacterial sinusitis,1
Azithromycin,Pelvic inflammatory disease due to Mycoplasma hominis,1
Azithromycin,Haemophilus influenzae pneumonia,1
Azithromycin,Acute exacerbation of chronic bronchitis,1
Ticlopidine,Cerebrovascular Occlusion,1
Trospium,Urge Incontinence,1
Trospium,Bladder muscle dysfunction - overactive,1
Trospium,Increased frequency of micturition,1
Trospium,Urgency of micturition,1
Adapalene,Acne Vulgaris,1
Midodrine,"Hypotension, Orthostatic",1
Pantoprazole,Erosive esophagitis,1
Pantoprazole,Zollinger-Ellison syndrome,1
Pantoprazole,Gastroesophageal reflux disease,1
Pantoprazole,Multiple Endocrine Neoplasia,1
Pantoprazole,Peptic Ulcer,1
Torasemide,Hypertensive disease,1
Torasemide,Edema,1
Torasemide,Decompensated cardiac failure,1
Torasemide,Renal disease with edema NOS,1
Citalopram,Generalized Anxiety Disorder,1
Citalopram,Major Depressive Disorder,1
Citalopram,Depressive disorder,1
Eletriptan,Migraine Disorders,1
Moxifloxacin,Chlamydial pneumonia,1
Moxifloxacin,Acute bacterial sinusitis,1
Moxifloxacin,Acute exacerbation of chronic bronchitis,1
Moxifloxacin,Moraxella catarrhalis pneumonia,1
Moxifloxacin,Bacterial infection due to Klebsiella pneumoniae,1
Moxifloxacin,Mycoplasma pneumonia,1
Moxifloxacin,Haemophilus influenzae pneumonia,1
Moxifloxacin,Enterobacteriaceae Infections,1
Moxifloxacin,Abdominal Abscess,1
Moxifloxacin,Staphylococcus aureus infection,1
Moxifloxacin,Streptococcus pyogenes infection,1
Moxifloxacin,Infection of skin AND/OR subcutaneous tissue,1
Moxifloxacin,Staphylococcal Pneumonia,1
Moxifloxacin,Peritonitis,1
Moxifloxacin,Pneumonia due to Klebsiella pneumoniae,1
Moxifloxacin,"Pneumonia, Bacterial",1
Moxifloxacin,Streptococcal pneumonia,1
Moxifloxacin,Intraabdominal Infections,1
Moxifloxacin,Bacterial conjunctivitis,1
Moxifloxacin,Rhinoscleroma,1
Moxifloxacin,Pneumonic Plague,1
Moxifloxacin,"Plague, Septicemic",1
Nelfinavir,HIV Infections,1
Glimepiride,"Diabetes Mellitus, Non-Insulin-Dependent",1
Diflorasone,Pruritus Ani,1
Diflorasone,Granuloma Annulare,1
Diflorasone,Chronic small plaque psoriasis,1
Diflorasone,Exanthema,1
Diflorasone,Pruritus of genital organs,1
Diflorasone,"Lymphoma, T-Cell, Cutaneous",1
Diflorasone,"Lupus Erythematosus, Discoid",1
Diflorasone,Lichen Simplex Chronicus,1
Diflorasone,Contact Dermatitis,1
Diflorasone,Scalp psoriasis,1
Diflorasone,Seborrheic dermatitis,1
Diflorasone,"Dermatitis, Atopic",1
Indinavir,HIV Infections,1
Guanadrel,Hypertensive disease,1
Lovastatin,Familial hypercholesterolemia - heterozygous,1
Lovastatin,Hyperlipidemia,1
Lovastatin,Hypercholesterolemia,1
Lovastatin,Hypoalphalipoproteinemias,1
Lovastatin,"Hyperlipidemia, Familial Combined",1
Lovastatin,Hypertriglyceridemia,1
Lovastatin,Arteriosclerosis,1
Pregabalin,Diabetic peripheral neuropathy,1
Pregabalin,Fibromyalgia,1
Pregabalin,Postherpetic neuralgia,1
Pregabalin,Generalized Anxiety Disorder,1
Temazepam,Sleeplessness,1
Methyclothiazide,Hypertensive disease,1
Methyclothiazide,Renal disease with edema NOS,1
Methyclothiazide,Edema,1
Aminosalicylic Acid,Acute tuberculosis,1
Aminosalicylic Acid,"Tuberculosis, Pulmonary",1
Reboxetine,Major Depressive Disorder,1
Milrinone,Decompensated cardiac failure,1
Butabarbital,Severe anxiety (panic),1
Butabarbital,Dysuria,1
Butabarbital,Sleeplessness,1
Nevirapine,HIV Infections,1
Oxiconazole,Tinea corporis (disorder),1
Oxiconazole,Tinea Versicolor,1
Oxiconazole,Tinea cruris,1
Oxiconazole,Tinea Pedis,1
Alclometasone,Contact Dermatitis,1
Alclometasone,Exanthema,1
Alclometasone,"Lymphoma, T-Cell, Cutaneous",1
Alclometasone,Chronic small plaque psoriasis,1
Alclometasone,Pruritus Ani,1
Alclometasone,Lichen Simplex Chronicus,1
Alclometasone,"Dermatitis, Atopic",1
Alclometasone,Granuloma Annulare,1
Alclometasone,Seborrheic dermatitis,1
Alclometasone,Scalp psoriasis,1
Alclometasone,"Lupus Erythematosus, Discoid",1
Alclometasone,Pruritus of genital organs,1
Butalbital,Tension Headache,1
Cladribine,Hairy Cell Leukemia,1
Ranolazine,Angina Pectoris,1
Mesalazine,Chronic ulcerative proctitis,1
Mesalazine,Ulcerative Colitis,1
Mesalazine,Ulcerative colitis in remission,1
Mesalazine,Chronic ulcerative rectosigmoiditis,1
Benzatropine,Extrapyramidal Disorders,1
Benzatropine,"Parkinson Disease, Postencephalitic",1
Benzatropine,Parkinson Disease,1
Benzatropine,Parkinsonian Disorders,1
Ziprasidone,Bipolar disorder in remission,1
Ziprasidone,Schizophrenia,1
Ziprasidone,Mixed bipolar I disorder,1
Ziprasidone,"Bipolar affective disorder, current episode manic",1
Cabergoline,Hyperprolactinemia,1
Idoxuridine,"Keratitis, Herpetic",1
Dapsone,Acne Vulgaris,1
Dapsone,Leprosy,1
Dapsone,Dermatitis Herpetiformis,1
Terconazole,"Candidiasis, Vulvovaginal",1
Phenytoin,Status Epilepticus,1
Phenytoin,Epilepsy characterized by intractable complex partial seizures,1
Phenytoin,Epilepsy,1
Phenytoin,Motor cortex epilepsy,1
Phenytoin,"Epilepsies, Partial",1
Phenytoin,Tonic - clonic seizures,1
Phenytoin,Lennox-Gastaut syndrome,1
Phenytoin,Tonic-Clonic Epilepsy,1
Phenytoin,Bipolar disorder in remission,1
Phenytoin,Simple Partial Seizures,1
Medrysone,Rosacea,1
Medrysone,Iritis,1
Medrysone,Punctate keratopathy,1
Medrysone,Iridocyclitis,1
Medrysone,Corneal abrasion,1
Medrysone,Uveitis,1
Medrysone,Herpes zoster keratitis,1
Medrysone,Corneal Ulcer,1
Medrysone,Cyclitis,1
Medrysone,Allergic Conjunctivitis,1
Doxycycline,Acne Vulgaris,1
Doxycycline,Infection of skin AND/OR subcutaneous tissue,1
Doxycycline,Brucellosis,1
Doxycycline,Scrub Typhus,1
Doxycycline,Lymphogranuloma Venereum,1
Doxycycline,Rocky Mountain Spotted Fever,1
Doxycycline,Acute gonococcal cervicitis,1
Doxycycline,Chlamydia trachomatis infection of genital structure,1
Doxycycline,Cutaneous anthrax,1
Doxycycline,Q Fever,1
Doxycycline,Acute gonococcal urethritis,1
Doxycycline,Actinomycosis,1
Doxycycline,Endemic Flea-Borne Typhus,1
Doxycycline,TYPHUS,1
Doxycycline,Anthrax disease,1
Doxycycline,Cholera,1
Doxycycline,Tularemia,1
Doxycycline,Chancroids,1
Doxycycline,GONOCOCCAL INFECTION DISSEMINATED,1
Doxycycline,non-gonococcal urethritis (NGU),1
Doxycycline,Pharyngitis,1
Doxycycline,Sinusitis,1
Doxycycline,Trachoma,1
Doxycycline,Boutonneuse Fever,1
Doxycycline,Gonorrhea of rectum,1
Doxycycline,Yaws,1
Doxycycline,Q fever endocarditis,1
Doxycycline,Gonorrhea,1
Doxycycline,Brill-Zinsser Disease,1
Doxycycline,Listeriosis,1
Doxycycline,Rickettsia Infections,1
Doxycycline,Gonorrhea of pharynx,1
Doxycycline,"Typhus, Epidemic Louse-Borne",1
Doxycycline,Rickettsialpox,1
Doxycycline,Acute gonococcal endometritis,1
Doxycycline,Acute gonococcal epididymo-orchitis,1
Doxycycline,Inhalational anthrax,1
Doxycycline,Gastrointestinal anthrax,1
Doxycycline,Syphilis,1
Doxycycline,Granuloma Inguinale,1
Doxycycline,Mycoplasma pneumonia,1
Doxycycline,Bronchitis,1
Doxycycline,Bartonella Infections,1
Doxycycline,Psittacosis,1
Doxycycline,Relapsing Fever,1
Doxycycline,"Pneumonia, Bacterial",1
Doxycycline,Chlamydia Infections,1
Clotrimazole,"Candidiasis, Vulvovaginal",1
Clotrimazole,Diaper Rash,1
Clotrimazole,Oropharyngeal candidiasis,1
Clotrimazole,Tinea corporis (disorder),1
Clotrimazole,Cutaneous Candidiasis,1
Clotrimazole,Oral candidiasis,1
Clotrimazole,Tinea cruris,1
Clotrimazole,Tinea Pedis,1
Clotrimazole,Tinea Versicolor,1
Calcium Acetate,Disorder of electrolytes,1
Calcium Acetate,Hypermagnesemia,1
Calcium Acetate,Cardiac Arrest,1
Calcium Acetate,Hypocalcemia,1
Calcium Acetate,Hyperkalemia,1
Calcium Acetate,Hypocalcemic tetany,1
Sulfanilamide,Vulvovaginitis,1
Sulfanilamide,"Candidiasis, Vulvovaginal",1
Cycloserine,Escherichia coli urinary tract infection,1
Cycloserine,"Tuberculosis, Pulmonary",1
Cycloserine,Acute tuberculosis,1
Cycloserine,Bacterial urinary infection,1
Anagrelide,"Thrombocythemia, Essential",1
Carmustine,Malignant neoplasm of brain,1
Carmustine,Multiple Myeloma,1
Carmustine,Hodgkin Disease,1
Carmustine,Diffuse Large B-Cell Lymphoma,1
Carmustine,"Lymphoma, Non-Hodgkin",1
Carmustine,Malignant Glioma,1
Carmustine,Glioblastoma multiforme of brain,1
Sulfisoxazole,Chlamydial cervicitis,1
Sulfisoxazole,Infective otitis media,1
Sulfisoxazole,Chancroids,1
Sulfisoxazole,Meningococcal meningitis,1
Sulfisoxazole,Acute otitis media,1
Sulfisoxazole,Nocardia Infections,1
Sulfisoxazole,"Malaria, Falciparum",1
Sulfisoxazole,Trachoma,1
Sulfisoxazole,Inclusion conjunctivitis,1
Sulfisoxazole,Chlamydial urethritis,1
Sulfisoxazole,Urinary tract infection,1
Metoprolol,Hypertensive disease,1
Metoprolol,Myocardial Infarction,1
Metoprolol,Acute Coronary Syndrome,1
Metoprolol,Angina Pectoris,1
Metoprolol,Chronic heart failure,1
Crotamiton,Scabies <infestation>,1
Crotamiton,Pruritus,1
Dicoumarol,Myocardial Infarction,1
Dicoumarol,Thromboembolism,1
Dicoumarol,Thrombosis,1
Dicoumarol,Cerebral Embolism,1
Ropinirole,Parkinson Disease,1
Ropinirole,Restless Legs Syndrome,1
Isradipine,Hypertensive disease,1
Topiramate,Tonic-Clonic Epilepsy,1
Topiramate,Epilepsy characterized by intractable complex partial seizures,1
Topiramate,Lennox-Gastaut syndrome,1
Topiramate,Simple Partial Seizures,1
Cefmetazole,Pneumonia,1
Cefmetazole,Staphylococcal Pneumonia,1
Cefmetazole,Infection of skin AND/OR subcutaneous tissue,1
Cefmetazole,Pneumonia due to Escherichia coli,1
Cefmetazole,Urinary tract infection,1
Cefmetazole,Intraabdominal Infections,1
Cefmetazole,Haemophilus influenzae pneumonia,1
Cefmetazole,Lower respiratory tract infection,1
Olmesartan,Hypertensive disease,1
Theophylline,Lung diseases,1
Theophylline,Status Asthmaticus,1
Theophylline,Asthma night-time symptoms,1
Theophylline,Asthma,1
Theophylline,Bronchitis,1
Theophylline,Pulmonary Emphysema,1
Theophylline,Asthma-chronic obstructive pulmonary disease overlap syndrome,1
Theophylline,Bronchial Spasm,1
Theophylline,Asthma attack,1
Argatroban,Heparin-induced thrombocytopenia with thrombosis,1
Liothyronine,Malignant neoplasm of thyroid,1
Liothyronine,Endemic goiter,1
Liothyronine,Myxedema,1
Liothyronine,Congenital Hypothyroidism,1
Liothyronine,Goiter,1
Liothyronine,Hypothyroidism,1
Liothyronine,Myxedema coma,1
Disopyramide,Ventricular arrhythmia,1
Lidocaine,Ventricular arrhythmia,1
Lidocaine,Scabies <infestation>,1
Lidocaine,Infestation by Phthirus pubis,1
Lidocaine,Pruritus Ani,1
Lidocaine,Pruritus,1
Lidocaine,Postherpetic neuralgia,1
Lidocaine,Skin irritation,1
Lidocaine,Hemorrhoids,1
Lidocaine,Urethritis,1
Lidocaine,Pediculus capitis infestation,1
Lidocaine,Neuralgia,1
Lidocaine,Mouth irritation,1
Lidocaine,Premature Ejaculation,1
Pamidronate,Humoral hypercalcemia of malignancy (disorder),1
